Airplane,Noun,Flying,Personification
Airplane,Noun,Flying,Representation
Bed,Noun,Sleeping,Acting
Bed,Noun,Drawing flat surface + Sleeping,Drawing + Acting
Bird,Noun,Flying,Personification
Bird,Noun,Flying,Representation
Boat,Noun,Rowing ,Acting
Boat,Noun,Waves ( Water Flowing ) + Drawing trapezium,Ostensive Cues + Drawing
Book,Noun,Reading ( Flipping through pages),Representation
Bridge,Noun,Drawing pillars and base  + Crossing Bridge ,Drawing + Acting
Bus,Noun,Draw big rectangle + Driving,Drwaing + Acting
Car,Noun,Driving,Acting
Castle,Noun,Drawing big house,Drawing
Chair,Noun,Drawing shape,Drawing
Chair,Noun,DrawingArc + Sitting,Drawing + Acting
Chair,Noun,Sitting,Acting
Comb,Noun,Combing Hair,Acting
Cow,Noun,Milking a Cow,Acting
Cow,Noun,crawling + Miliking,Personification + Acting
Crocodile,Noun,Moving Hands up and down,Representation
Cup,Noun,Drinking,Acting
Drums,Noun,Drumming,Acting
Fish,Noun,Swimming,Representation
Guitar,Noun,Playing guitar ( strumming guitar),Acting
Helicopter,Noun,Rotation of Blades,Representation
Horse,Noun,Riding,Acting
Lamp,Noun,Drawing a cone + Illumination,Drawing + Representation
Lamp,Noun, Turning on light,Acting
Motorcycle,Noun,Riding a Motorcycle,Acting
Pencil,Noun,Drawing line + Writing,Drawing + Acting
Pencil,Noun,Writing,Acting
Piano,Noun,Playing piano,Acting
Scissors,Noun,Cutting,Representation
Spoon,Noun,Scooping,Acting
Stairs,Noun,Wiggling Fingers,Representation
Stairs,Noun,Walking up the stairs,Acting
Table,Noun,Drawing shape,Drawing
Toothbrush,Noun,Brushing,Acting
Train,Noun,Wheels + Choo Choo,Representation
Triangle,Noun,Drawing traingle,Drawing
Trumpet,Noun,Playing trumpet,Acting
Violin,Noun,Playing Violin,Acting